,id,tweet_text,tweet_label,claim,tweet_date,num_hashtags,hashtag_text,has_link,polarity,subjective,pos_words,neg_words,misinfo_words,debunk_words,misinfo_hashtags,debunk_hashtags,hyperpartisan,followers,verified
24,1305660420594847744,"Just laugh snorted vodka outta my nose on this...#framerater 10/10...with a sore nose...😀🍍🍸 I think we're gonna have to retire the phrase “avoid it like the plague,"" because, it turns out, people don’t do that. #COVIDIOTS #WearAMask 😷", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
25,1305483267823501312,"I think we're gonna have to retire the phrase “avoid it like the plague,"" because, it turns out, people don’t do th… https://t.co/dFqK31gCMZ", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
26,1305660865157500928,"Dumb Ass It’s Monday, September 14th 2020, and Barack Obama was the most corrupt President in US history. #Obamagate", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
27,1305661756627472385,"This 🙌🏻 It’s Monday, September 14th 2020, and Barack Obama was the most corrupt President in US history. #Obamagate", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
28,1305662472804855811,"FKN Eh Stuff 🇺🇸 Pa. governor’s pandemic shutdown ruled unconstitutional by federal judge Take that and ""shove it where the sun don't shine"" enough with totalitarianism. https://t.co/p0u7Q3kNxw I love these awesome citizens 👏❤ Enough with the #plandemic https://t.co/IbzsjKscx6", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
29,1305624441406328836,"Pa. governor’s pandemic shutdown ruled unconstitutional by federal judge

Take that and ""shove it where the sun don… https://t.co/94WtHhcflZ", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
30,1305662626723176459,He irks the shit out of me This was a lot of fun 🙌🏾 🎹 Earlier this year I played the world's first #5G duet over @VodafoneUK 5G network using two digitally connected pianos in different physical locations #5Gamechanger #Ad https://t.co/ly3ElJrDvW, , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
31,1302999795771080705,This was a lot of fun 🙌🏾 🎹 Earlier this year I played the world's first #5G duet over @VodafoneUK 5G network using… https://t.co/FtOjbb3mZI, , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
32,1305662651108818945,@cala_1111 @RexPundit @MichaelDeLauzon @QmagaMike @jad1rad @VetApologist @IreneVMP @billbong9059 @dhiggins63… https://t.co/gpHioiSkHc, , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
33,1305660030327365635,"@thehill Huge teleprompter spitting 
serious armageddon 🤣R
#biden making it up all alone, 
Hell of a campaign😅
Want… https://t.co/Vi916s9k9O", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
34,1305662658918510593,"I believe he was mentored by the clintons, who were trained by the Chinese government.!! It’s Monday, September 14th 2020, and Barack Obama was the most corrupt President in US history. #Obamagate", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
35,1305663036145901569,Tom seems to be the Lone Ranger. Support this hero. @GOPChairwoman @GOPoversight @realDonaldTrump @TuckerCarlson… https://t.co/BToaYCoypY, , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
36,1304768283665731585,"Not IG, not DOJ, not Congress, not ""Media"" -- but @JudicialWatch uncovered the major scandal of the wiped Mueller g… https://t.co/MaOiPPeZFb", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
37,1305663101656850433,"Total awesomeness! Pa. governor’s pandemic shutdown ruled unconstitutional by federal judge Take that and ""shove it where the sun don't shine"" enough with totalitarianism. https://t.co/p0u7Q3kNxw I love these awesome citizens 👏❤ Enough with the #plandemic https://t.co/IbzsjKscx6", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
38,1305624441406328836,"Pa. governor’s pandemic shutdown ruled unconstitutional by federal judge

Take that and ""shove it where the sun don… https://t.co/94WtHhcflZ", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
39,1305663109886078976,The useless cows in congress will do NOTHING for the people. They are the swamp working to enrich themselves w/mone… https://t.co/hOsLJ52LL6, , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
40,1304768283665731585,"Not IG, not DOJ, not Congress, not ""Media"" -- but @JudicialWatch uncovered the major scandal of the wiped Mueller g… https://t.co/MaOiPPeZFb", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
41,1305663119964942337,"You have to ask yourself -- Xi jin ping 🇨🇳🇨🇳🇨🇳 Xi Jinping: "" It's Not Fair - Every one is against me "" #XiJinping #Xitler #Chinazi #CCPVirus #CCPLiedPeopleDied #CCP_is_terrorist https://t.co/X4tH6wPkJ0", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
42,1305662248463949824,"🇨🇳🇨🇳🇨🇳

Xi Jinping: "" It's  Not  Fair - Every one is against me ""

#XiJinping #Xitler #Chinazi #CCPVirus… https://t.co/Kh8yZvr2PG", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
43,1305663379596599298,"If they steal it, we will destroy them all! Judge ruled #WuhanVirus outlandish directives by Democrat PA Governor & Crazy Health Director deemed UNCONSTITUTIONAL💪🇺🇸 #14A Dems Policies are anti-American & Communist The only way any Democrat wins anything this election is by STEALING IT-they’ll try https://t.co/B13JNK0HRY", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
44,1305609363655208965,Judge ruled #WuhanVirus outlandish directives by Democrat PA Governor &amp; Crazy Health Director deemed UNCONSTITUTION… https://t.co/yQyjGZ2ymc, , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
45,1305663404112216065,"Amen It’s Monday, September 14th 2020, and Barack Obama was the most corrupt President in US history. #Obamagate", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
46,1305664095178444802,"LIAR LIAR LIAR LIAR 45 NEVER HELPED MY LATINO PEOPLE STAY FOCUS AND VOTE It’s Monday, September 14th 2020, and Barack Obama was the most corrupt President in US history. #Obamagate", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
47,1305664426360664064,"Here in the USA we continue to listen to the monkey with a title. https://t.co/mNmJycu196 A hospital in Brazil reports that a cocktail based on #hydroxychloroquine, azithromycin & corticosteroids used in the early stages of the #COVID19 symptoms ""empties the ICU,"" meanwhile a doctor in Madrid says it has lowered mortality from 20% to 1.8%. https://t.co/OmDQwUWfoK", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
48,1305326708707524608,"A hospital in Brazil reports that a cocktail based on #hydroxychloroquine, azithromycin &amp; corticosteroids used in t… https://t.co/YIslZtkQnY", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
49,1305664931010879490,"TRUTH !!! It’s Monday, September 14th 2020, and Barack Obama was the most corrupt President in US history. #Obamagate", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
50,1305665433417256961,Yes it is! #hydroxichloroquine is a safe drug., , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
51,1305666283715821568,Interesting piece Scientists Proved Viruses Are Not Contagious in 1918. https://t.co/oGRPo6xg1y #Scamdemic #Viruses #COVID1984, , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
52,1305666398677590021,"Gee. It seems the government doesn't want to police itself. Not IG, not DOJ, not Congress, not ""Media"" -- but @JudicialWatch uncovered the major scandal of the wiped Mueller gang phones. Just like we did on Benghazi, IRS, Clinton emails, #Obamagate, etc. https://t.co/kvabBvxXXD", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
53,1304768283665731585,"Not IG, not DOJ, not Congress, not ""Media"" -- but @JudicialWatch uncovered the major scandal of the wiped Mueller g… https://t.co/MaOiPPeZFb", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
54,1305666752278388736,#DrLiMengYan found the smoking gun. International Criminal Court #ICC need to bring the full force of the law to… https://t.co/26lmbUbabP, , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
55,1305666932679598080,True. I know one. @QanonYahshua Notice the employees sitting at the doors at Walmart with a smartpad? They are counting people not wearing masks. Thats how they poll the population and know howwell their scare tactics are working. #unMask #Obamagate @IngrahamAngle @drdavidsamadi @realDonaldTrump @JudicialWatch, , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
56,1305651245500321792,@QanonYahshua Notice the employees sitting at the doors at Walmart with a smartpad? They are counting people not we… https://t.co/PpWRbKnU1a, , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
57,1305667613284990976,"@TimSmithMP @GideonCRozner Interesting. Unconstitutional ? Pa. governor’s pandemic shutdown ruled unconstitutional by federal judge Take that and ""shove it where the sun don't shine"" enough with totalitarianism. https://t.co/p0u7Q3kNxw I love these awesome citizens 👏❤ Enough with the #plandemic https://t.co/IbzsjKscx6", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
58,1305624441406328836,"Pa. governor’s pandemic shutdown ruled unconstitutional by federal judge

Take that and ""shove it where the sun don… https://t.co/94WtHhcflZ", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
59,1305667615193468928,"And you are the dumbest person in history It’s Monday, September 14th 2020, and Barack Obama was the most corrupt President in US history. #Obamagate", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
60,1305668718870122508,"🇺🇸Absolutely l‼️😤Why isn’t Everyone ( #WeThePeople) Demanding this Right Now⁉️🤯 https://t.co/DBXzMHLE5E Barack Obama, Joe Biden and the rest of the crooked Obama Administration must be held responsible for their roles in #ObamaGate! Who agrees? 🤔", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
61,1305249919716995081,"Barack Obama, Joe Biden and the rest of the crooked Obama Administration must be held responsible for their roles i… https://t.co/dzNVgu4M4C", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
62,1305669100992180229,"AMEN! It’s Monday, September 14th 2020, and Barack Obama was the most corrupt President in US history. #Obamagate", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
63,1305669389283463168,"Eliminate the DO of Injustice and and FBI, and put judicial watch as our justice department Not IG, not DOJ, not Congress, not ""Media"" -- but @JudicialWatch uncovered the major scandal of the wiped Mueller gang phones. Just like we did on Benghazi, IRS, Clinton emails, #Obamagate, etc.", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
64,1304768283665731585,"Not IG, not DOJ, not Congress, not ""Media"" -- but @JudicialWatch uncovered the major scandal of the wiped Mueller g… https://t.co/MaOiPPeZFb", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
65,1305669492815654912,"@NVCapodeiCapi @CattHarmony #HidenBiden a tad exhausted after is last teleprompter 5 mns speach 😆 https://t.co/rQCzY0vMUG @thehill Huge teleprompter spitting serious armageddon 🤣R #biden making it up all alone, Hell of a campaign😅 Want some more #racial unrest #arson #SARSCoV2 #plandemic #chaos ! Stop those N.W.O nutters #Trump2020 for #freedom #democracy #LawAndOrder Quote Tweet https://t.co/j4A7jjy8DV", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
66,1305660030327365635,"@thehill Huge teleprompter spitting 
serious armageddon 🤣R
#biden making it up all alone, 
Hell of a campaign😅
Want… https://t.co/Vi916s9k9O", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
67,1305669854280572928,"Great Job ' Tom Fitton.. We're LOST without You... Not IG, not DOJ, not Congress, not ""Media"" -- but @JudicialWatch uncovered the major scandal of the wiped Mueller gang phones. Just like we did on Benghazi, IRS, Clinton emails, #Obamagate, etc.", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
68,1304768283665731585,"Not IG, not DOJ, not Congress, not ""Media"" -- but @JudicialWatch uncovered the major scandal of the wiped Mueller g… https://t.co/MaOiPPeZFb", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
69,1305670474689646593,"🇺🇸 #WHYYY⁉️🤬
I like AG Barr, 
But this is BS‼️
Open Up Everything for our #GreatCountry &amp; 
#WeThePeople‼️

We Pay f… https://t.co/GSAWwP3fYC", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
70,1304200481271554049,“Ask yourself why AG Barr fights Judicial Watch in virtually every FOIA lawsuit seeking records over the #Obamagate… https://t.co/hcrZw8vFZW, , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
71,1305670507606339585,"Spread the word @dbongino . Yell it from the highest height!!! It’s Monday, September 14th 2020, and Barack Obama was the most corrupt President in US history. #Obamagate", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
72,1305670796770148353,"Way to go @TomFitton ! 👏 Not IG, not DOJ, not Congress, not ""Media"" -- but @JudicialWatch uncovered the major scandal of the wiped Mueller gang phones. Just like we did on Benghazi, IRS, Clinton emails, #Obamagate, etc.", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
73,1304768283665731585,"Not IG, not DOJ, not Congress, not ""Media"" -- but @JudicialWatch uncovered the major scandal of the wiped Mueller g… https://t.co/MaOiPPeZFb", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
74,1305670808111636481,"Love it! The shutdowns were UNCONSTITUTIONAL. Pa. governor’s pandemic shutdown ruled unconstitutional by federal judge Take that and ""shove it where the sun don't shine"" enough with totalitarianism. https://t.co/p0u7Q3kNxw I love these awesome citizens 👏❤ Enough with the #plandemic https://t.co/IbzsjKscx6", , , ,0, ,False, ,False,0,0,0,0,0,0,0,100,False
